entry_time,exit_time,entry_price,exit_price,qty_btc,pnl_usd,pnl_pct,exit_reason,ml_prob,ml_approved
2025-07-16,2025-07-16,118803.42,119203.42,0.972583,194.52,0.3367,red_brick,N/A,True
2025-07-21,2025-07-21,119303.42,119049.32,0.971768,-246.93,-0.213,stop_loss,N/A,True
2025-07-22,2025-07-22,119303.42,118202.66,0.969698,-1067.41,-0.9227,stop_loss,N/A,True
2025-07-24,2025-07-24,118903.42,118574.42,0.963983,-317.15,-0.2767,stop_loss,N/A,True
2025-07-24,2025-07-24,118603.42,119003.42,0.481874,192.75,0.3373,partial_profit,N/A,True
2025-07-24,2025-07-24,118603.42,119003.42,0.963748,192.75,0.3373,red_brick,N/A,True
2025-07-26,2025-07-26,118003.42,118103.42,0.971915,97.19,0.0847,red_brick,N/A,True
2025-07-29,2025-07-29,118903.42,118803.42,0.965376,-96.54,-0.0841,red_brick,N/A,True
2025-07-31,2025-07-31,118503.42,118503.42,0.96782,0.0,0.0,red_brick,N/A,True
2025-08-06,2025-08-06,115303.42,115303.42,0.994679,0.0,0.0,red_brick,N/A,True
2025-08-12,2025-08-12,119103.42,119503.42,0.481472,192.59,0.3358,partial_profit,N/A,True
2025-08-12,2025-08-12,119103.42,119803.42,0.962944,337.03,0.5877,red_brick,N/A,True
2025-08-27,2025-08-27,112203.42,111972.69,1.026881,-236.93,-0.2056,stop_loss,N/A,True
2025-09-02,2025-09-02,109403.42,109803.42,0.525498,210.2,0.3656,partial_profit,N/A,True
2025-09-02,2025-09-02,109403.42,110303.42,1.050997,472.95,0.8226,red_brick,N/A,True
2025-09-05,2025-09-05,111403.42,111803.42,0.51913,207.65,0.3591,partial_profit,N/A,True
2025-09-05,2025-09-05,111403.42,112803.42,1.03826,726.78,1.2567,red_brick,N/A,True
2025-09-07,2025-09-07,111303.42,110985.59,1.047589,-332.96,-0.2856,stop_loss,N/A,True
2025-09-16,2025-09-16,115503.42,115903.42,0.503306,201.32,0.3463,partial_profit,N/A,True
2025-09-16,2025-09-17,115503.42,116703.42,1.006613,603.97,1.0389,red_brick,N/A,True
2025-09-28,2025-09-28,110403.42,110803.42,0.530203,212.08,0.3623,partial_profit,N/A,True
2025-09-28,2025-09-29,110403.42,112203.42,1.060407,954.37,1.6304,red_brick,N/A,True
2025-10-19,2025-10-19,108503.42,108903.42,0.544863,217.95,0.3687,partial_profit,N/A,True
2025-10-19,2025-10-19,108503.42,109303.42,1.089726,435.89,0.7373,red_brick,N/A,True
2025-10-21,2025-10-21,109403.42,109803.42,0.543369,217.35,0.3656,partial_profit,N/A,True
2025-10-21,2025-10-21,109403.42,113303.42,1.086738,2119.14,3.5648,red_brick,N/A,True
2025-11-09,2025-11-09,103103.42,103503.42,0.587901,235.16,0.388,partial_profit,N/A,True
2025-11-09,2025-11-09,103103.42,103703.42,1.175803,352.74,0.5819,red_brick,N/A,True
2025-11-23,2025-11-23,86303.42,86703.42,0.70575,282.3,0.4635,partial_profit,N/A,True
2025-11-23,2025-11-23,86303.42,86703.42,1.411499,282.3,0.4635,red_brick,N/A,True
2025-11-26,2025-11-26,87303.42,87703.42,0.700899,280.36,0.4582,partial_profit,N/A,True
2025-11-26,2025-11-26,87303.42,90003.42,1.401798,1892.43,3.0927,red_brick,N/A,True
2025-12-02,2025-12-02,90903.42,91303.42,0.685093,274.04,0.44,partial_profit,N/A,True
2025-12-02,2025-12-02,90903.42,91803.42,1.370186,616.58,0.9901,red_brick,N/A,True
2025-12-07,2025-12-08,90103.42,90503.42,0.696118,278.45,0.4439,partial_profit,N/A,True
2025-12-07,2025-12-08,90103.42,91203.42,1.392236,765.73,1.2208,red_brick,N/A,True
2025-12-09,2025-12-09,90703.42,91103.42,0.697269,278.91,0.441,partial_profit,N/A,True
2025-12-09,2025-12-09,90703.42,94103.42,1.394538,2370.71,3.7485,red_brick,N/A,True
2025-12-12,2025-12-12,92203.42,92603.42,0.700294,280.12,0.4338,partial_profit,N/A,True
2025-12-12,2025-12-12,92203.42,92503.42,1.400588,210.09,0.3254,red_brick,N/A,True
2025-12-19,2025-12-19,88103.42,87823.04,1.47133,-412.53,-0.3182,stop_loss,N/A,True
2025-12-26,2025-12-26,87803.42,88203.42,0.735829,294.33,0.4556,partial_profit,N/A,True
2025-12-26,2025-12-26,87803.42,89003.42,1.471659,883.0,1.3667,red_brick,N/A,True
2025-12-28,2025-12-28,87803.42,87703.42,1.485068,-148.51,-0.1139,red_brick,N/A,True
2025-12-29,2025-12-29,87903.42,88303.42,0.740844,296.34,0.455,partial_profit,N/A,True
2025-12-29,2025-12-29,87903.42,89903.42,1.481689,1481.69,2.2752,red_brick,N/A,True
2025-12-30,2025-12-30,88803.42,88803.42,1.486694,0.0,0.0,red_brick,N/A,True
